slug,nombre
3yqr,Extracto
fb8p,Sistemas
mmwz,Equipos
fg8c,Acido
4chm,Bombas
drhw,Aceite
b3mp,Valvulas
cdhw,Equipo
4r0t,Bolsas
btb1,Mantenimiento
4bpv,Filtros
4j0c,Cajas
bw40,Diseño
ctpr,Resinas
dyy0,Sulfato
fqqq,Reparacion
4n0r,Puertas
b8qh,Software
400l,Placas
4sst,Sensores
4ntm,Laminas
4cjs,Aditivos
47sc,Cintas
mn4v,Instalacion
3vtn,Fosfato
4gpj,Tubos
mnhj,Sistema
4m8q,Cables
4c3m,Envases
4sbd,Asesoria
3whp,Refacciones
4fph,Sabores
4hx3,Pruebas
fqqr,Servicio
cmx4,Cursos
mm1j,Acetato
4t4t,Sellos
4d4r,Servicios
48rf,Tanques
f3sz,Kits
4xyx,Mangueras
industrial-cnvt,Planta industrial
b1tc,Barras
4r00,Tapas
bvds,Limpiadores
4b1d,Molinos
43yg,Extractos
4bzq,Fragancias
4d1v,Contenedores
mn3t,Oxido
4084,Tapetes
4sz3,Botellas
flmt,Rollos
4b7n,Agitadores
4bvb,Moldes
4nj7,Limpieza
quimicos-b30q,Productos quimicos
4fvq,Herramientas
4c1f,Lamparas
4gnq,Ceras
g83n,Carbonato
cn8v,Peliculas
cljz,Hojas
b3gd,Motores
4g3z,Colorantes
dz37,Telas
cmww,Capacitacion
mncw,Nitrato
4mdj,Transporte
4cny,Sal
b17l,Ruedas
4rcl,Basculas
4ghc,Agua
dmn7,Gases
4c18,Mallas
f8pn,Perfiles
bjw1,Indicadores
bhxt,Controles
3jqj,Crema
4f7h,Pinturas
dsxs,Shampoo
4bgc,Charolas
cf0q,Intercambiadores
mnc1,Medidor
mnf4,Pelicula
4r78,Aluminio
gj0z,Cepillos
hydj,Vitamina
43jg,Juntas
bngz,Llaves
hysg,Comparadores
bwgf,Calibracion
clmt,Muebles
gbzy,Tubo
4prs,Tableros
4s7x,Polietileno
40dq,Soportes
4d7x,Rodillos
c0dv,Consultoria
cnhs,Desarrollo
b3lq,Instrumentos
f1jy,Metil
4xyt,Llenadoras
4741,Sillas
alimenticia-ddlx,Pasta alimenticia
g81h,Goma
cfyx,Gel
ftr7,Limpiador
mmyg,Fibra
bf4j,Adaptadores
4tnb,Electrodos
jg7f,Chile
4bn7,Detergentes
4fps,Calentadores
4zm8,Carros
fwdx,Cinta
4djt,Harina
40qn,Generadores
mmtl,Citrato
c8bs,Tarjetas
4rzq,Tornillos
4cdm,Desengrasantes
bmbw,Lentes
bmsy,Lamina
4mnj,Gruas
mmz0,Hidroxido
48qr,Elevadores
4071,Gabinetes
ctzy,Hule
41tq,Botes
4wwg,Tapones
mnyz,Señalamiento
mn4z,Jarabe
bxlq,Tintas
4frv,Cortadores
4cwm,Pegamentos
mnc3,Maquina
4fn7,Te
ctxr,Emulsiones
mnfs,Polvo
4t4p,Cortadoras
cvbr,Fibras
4sqb,Anillos
4chz,Grasas
43hz,Envasado
4p3z,Cubiertas
f43m,Componentes
4jc7,Vasos
4bhx,Ventiladores
4c1g,Lavadoras
mmqb,Bromuro
40q8,Acabados
4bh8,Extractores
31bm,Cadenas
bm8x,Mamparas
4d7d,Semillas
blw1,Compuestos
cdhd,Acondicionadores
mn1m,Venta
4qrv,Papeles
3dc1,Automatizacion
hblz,Jabon
b7ph,Cable
bgqw,Corte
4bsy,Solventes
mm0x,Azul
4xrd,Ductos
47mb,Polimeros
mmxl,Esencia
cmlf,Mobiliario
fwxf,Placa
bzyy,Fundas
dzml,Ropa
4bmp,Colorimetros
bfyy,Codos
4bt0,Termometros
bcys,Manometros
4qbj,Alambre
mnhc,Salsa
bf4h,Boquillas
mn1l,Valvula
4yg1,Trituradoras
